batch,N,q,positive,value
4,1000000,0.97,True,3.7167596250777093
4,1000000,0.975,True,3.967238417205785
4,1000000,0.98,True,4.3936403171830865
4,1000000,0.985,True,5.070026401554373
4,1000000,0.99,True,6.058906186289125
4,1000000,0.995,True,8.786295023476253
4,1000000,0.996,True,9.63858935358277
4,1000000,0.997,True,11.474699681534943
4,1000000,0.998,True,14.186915637304915
5,1000,0.95,False,-1.135755241562952
5,1000,0.97,False,-0.9099354247044849
5,1000,0.99,False,0.07262787365616846
5,1000,0.995,False,0.5436320613278368
5,1000,0.95,True,1.382917224504486
5,1000,0.96,True,1.4840573287837642
5,1000,0.965,True,1.5346273809234032
5,1000,0.97,True,1.5851974330630423
5,1000,0.975,True,1.6357674852026798
5,1000,0.98,True,1.6863375373423188
5,1000,0.985,True,1.736907589481958
5,1000,0.99,True,1.7874776416215954
5,1000,0.995,True,1.8380476937612344
5,1000,0.996,True,1.8481617041891627
5,1000,0.997,True,1.8582757146170907
5,1000,0.998,True,1.8683897250450174
5,10000,0.95,False,-1.06456793603926
5,10000,0.97,False,-0.6778939275722716
5,10000,0.99,False,0.13904344403855817
5,10000,0.995,False,0.7511384471287942
5,10000,0.95,True,2.8752240878422897
5,10000,0.96,True,2.9177613757313616
5,10000,0.965,True,2.9385255835540063
5,10000,0.97,True,3.042608887456466
5,10000,0.975,True,3.1996110767069212
5,10000,0.98,True,3.8505778281610206
5,10000,0.985,True,5.39734428284941
5,10000,0.99,True,8.92948054000493
5,10000,0.995,True,13.848646589948219
5,10000,0.996,True,14.97996144879034
5,10000,0.997,True,16.111276307632327
5,10000,0.998,True,17.242591166474313
5,100000,0.95,False,-1.0920046283180695
5,100000,0.97,False,-0.7239661013713524
5,100000,0.99,False,0.10654061462704234
5,100000,0.995,False,0.6779581170093801
5,100000,0.95,True,3.108697735393852
5,100000,0.96,True,3.38323260510574
5,100000,0.965,True,3.484764808096204
5,100000,0.97,True,3.7877963063475653
5,100000,0.975,True,4.2386448334953934
5,100000,0.98,True,4.91207684380219
5,100000,0.985,True,5.526437197549328
5,100000,0.99,True,6.741011069514788
5,100000,0.995,True,8.98010820990999
5,100000,0.996,True,9.501885321654143
5,100000,0.997,True,11.040480136859967
5,100000,0.998,True,12.767459594065496
5,1000000,0.95,False,-1.0775986341932384
5,1000000,0.97,False,-0.6963947089115917
5,1000000,0.99,False,0.12852097328759593
5,1000000,0.995,False,0.6907679602188065
5,1000000,0.95,True,3.003020978591342
5,1000000,0.96,True,3.3172694948983654
5,1000000,0.965,True,3.544832788063789
5,1000000,0.97,True,3.8106858817409046
5,1000000,0.975,True,4.093963644120419
5,1000000,0.98,True,4.469799343574682
5,1000000,0.985,True,5.174930154150796
5,1000000,0.99,True,6.361351451219354
5,1000000,0.995,True,8.767134419340174
5,1000000,0.996,True,9.933872883120882
5,1000000,0.997,True,11.441594370430938
5,1000000,0.998,True,13.354515445056917
6,1000,0.95,False,-1.0968098246530709
6,1000,0.97,False,-0.804496149806194
6,1000,0.99,False,-0.060918596865619484
6,1000,0.995,False,0.5437616232368958
6,1000,0.95,True,1.9410716362328486
6,1000,0.96,True,1.9526011684140172
6,1000,0.965,True,1.9583659345046016
6,1000,0.97,True,1.9641307005951858
6,1000,0.975,True,1.9698954666857702
6,1000,0.98,True,1.9756602327763546
6,1000,0.985,True,1.9814249988669388
6,1000,0.99,True,1.9871897649575232
6,1000,0.995,True,1.9929545310481074
6,1000,0.996,True,1.9941074842662243
6,1000,0.997,True,1.9952604374843412
6,1000,0.998,True,1.996413390702458
6,10000,0.95,False,-1.123528575714261
6,10000,0.97,False,-0.7715149259488617
6,10000,0.99,False,0.006374798335716708
6,10000,0.995,False,0.6144247718365258
6,10000,0.95,True,2.1356230780097434
6,10000,0.96,True,3.0965865393608354
6,10000,0.965,True,3.1192585018572174
6,10000,0.97,True,3.1419304643535995
6,10000,0.975,True,3.3445199765970735
6,10000,0.98,True,3.5471094888405474
6,10000,0.985,True,3.7611006161488874
6,10000,0.99,True,3.9750917434572273
6,10000,0.995,True,5.737782103858343
6,10000,0.996,True,6.090320175938547
6,10000,0.997,True,6.4428582480187995
6,10000,0.998,True,6.7953963200990035
6,100000,0.95,False,-1.055085479436868
6,100000,0.97,False,-0.6885263770451109
6,100000,0.99,False,0.08795955312849675
6,100000,0.995,False,0.6766813052737793
6,100000,0.95,True,3.175379111919367
6,100000,0.96,True,3.4525442381647853
6,100000,0.965,True,3.6436468301102876
6,100000,0.97,True,3.827202000198496
6,100000,0.975,True,4.218993103380712
6,100000,0.98,True,4.389282602810933
6,100000,0.985,True,5.281269147670436
6,100000,0.99,True,6.23336668109656
6,100000,0.995,True,7.581816596578751
6,100000,0.996,True,8.712553432174575
6,100000,0.997,True,10.76577486121603
6,100000,0.998,True,14.79641211815461
6,1000000,0.95,False,-1.0747557826740395
6,1000000,0.97,False,-0.6984391709565476
6,1000000,0.99,False,0.13354217985784428
6,1000000,0.995,False,0.6976170250597675
6,1000000,0.95,True,2.955324254885433
6,1000000,0.96,True,3.282353186783922
6,1000000,0.965,True,3.489178482439604
6,1000000,0.97,True,3.714494470310023
6,1000000,0.975,True,4.047037836250841
6,1000000,0.98,True,4.4674088283967315
6,1000000,0.985,True,5.12839669708764
6,1000000,0.99,True,6.142759144104088
6,1000000,0.995,True,9.084482769467206
6,1000000,0.996,True,10.159291035660324
6,1000000,0.997,True,12.253515770954404
6,1000000,0.998,True,19.791874407140398
7,1000,0.95,False,-1.1241068449542475
7,1000,0.97,False,-0.6972757791710241
7,1000,0.99,False,0.46575409746941643
7,1000,0.995,False,0.9574478388819757
7,1000,0.95,True,1.561407641617226
7,1000,0.96,True,1.572521021503182
7,1000,0.965,True,1.5780777114461604
7,1000,0.97,True,1.5836344013891384
7,1000,0.975,True,1.5891910913321166
7,1000,0.98,True,1.5947477812750948
7,1000,0.985,True,1.600304471218073
7,1000,0.99,True,1.6058611611610507
7,1000,0.995,True,1.611417851104029
7,1000,0.996,True,1.6125291890926248
7,1000,0.997,True,1.6136405270812202
7,1000,0.998,True,1.6147518650698158
7,10000,0.95,False,-1.1328529488527828
7,10000,0.97,False,-0.7482764923841616
7,10000,0.99,False,0.12950255117426915
7,10000,0.995,False,0.827030102083171
7,10000,0.95,True,3.5594973495124282
7,10000,0.96,True,3.641419320911649
7,10000,0.965,True,3.7840459156767206
7,10000,0.97,True,4.214232140284611
7,10000,0.975,True,4.82705758925215
7,10000,0.98,True,5.569003595860892
7,10000,0.985,True,6.79936586516612
7,10000,0.99,True,9.125929772287051
7,10000,0.995,True,12.150996759282863
7,10000,0.996,True,12.830281370238389
7,10000,0.997,True,13.509565981193834
7,10000,0.998,True,14.18885059214928
7,100000,0.95,False,-1.0608658777066093
7,100000,0.97,False,-0.6755820673264009
7,100000,0.99,False,0.19357129740417037
7,100000,0.995,False,0.7583309413256071
7,100000,0.95,True,2.9523738361418244
7,100000,0.96,True,3.1378661724003374
7,100000,0.965,True,3.423048571869704
7,100000,0.97,True,3.800180250178761
7,100000,0.975,True,4.076446629002451
7,100000,0.98,True,4.639704561811014
7,100000,0.985,True,5.566592440952656
7,100000,0.99,True,6.644484102975604
7,100000,0.995,True,8.535589533507611
7,100000,0.996,True,8.869918662709665
7,100000,0.997,True,9.524686362611464
7,100000,0.998,True,10.767256965996882
7,1000000,0.95,False,-1.0738027436493907
7,1000000,0.97,False,-0.6988501016687195
7,1000000,0.99,False,0.12175011547259267
7,1000000,0.995,False,0.6817470245265124
7,1000000,0.95,True,2.9070247015862525
7,1000000,0.96,True,3.201460412383184
7,1000000,0.965,True,3.4052274326341543
7,1000000,0.97,True,3.6692414633533303
7,1000000,0.975,True,3.942893648749381
7,1000000,0.98,True,4.399048115570812
7,1000000,0.985,True,5.073641274234568
7,1000000,0.99,True,6.38183479641032
7,1000000,0.995,True,8.570232932079456
7,1000000,0.996,True,9.410772836246558
7,1000000,0.997,True,10.636081293871225
7,1000000,0.998,True,14.92594448623057
8,1000,0.95,False,-1.1266108580547358
8,1000,0.97,False,-0.8358336372364917
8,1000,0.99,False,-0.09579660633515491
8,1000,0.995,False,0.12277842379590373
8,1000,0.95,True,1.4549400351113975
8,1000,0.96,True,1.4970967274521105
8,1000,0.965,True,1.518175073622467
8,1000,0.97,True,1.5392534197928236
8,1000,0.975,True,1.5603317659631801
8,1000,0.98,True,1.5814101121335362
8,1000,0.985,True,1.6024884583038927
8,1000,0.99,True,1.6235668044742493
8,1000,0.995,True,1.6446451506446058
8,1000,0.996,True,1.6488608198786767
8,1000,0.997,True,1.6530764891127485
8,1000,0.998,True,1.6572921583468196
8,10000,0.95,False,-1.0582710755302231
8,10000,0.97,False,-0.6423631538522948
8,10000,0.99,False,0.07152800055222329
8,10000,0.995,False,0.5183344030949082
8,10000,0.95,True,2.237443556640125
8,10000,0.96,True,2.6429636469625715
8,10000,0.965,True,2.6825009549128316
8,10000,0.97,True,2.7616246445093755
8,10000,0.975,True,3.285846922290049
8,10000,0.98,True,4.61124665880211
8,10000,0.985,True,5.3235874186455465
8,10000,0.99,True,5.57613394598746
8,10000,0.995,True,7.259695994170855
8,10000,0.996,True,7.6744637958534145
8,10000,0.997,True,8.089231597536026
8,10000,0.998,True,8.503999399218587
8,100000,0.95,False,-1.0732879776413184
8,100000,0.97,False,-0.7100071080611388
8,100000,0.99,False,0.10683656609175468
8,100000,0.995,False,0.677924864883368
8,100000,0.95,True,2.745545151332668
8,100000,0.96,True,3.0123314322538497
8,100000,0.965,True,3.1217524068807387
8,100000,0.97,True,3.3964479284974916
8,100000,0.975,True,3.925162621949222
8,100000,0.98,True,4.245682299955758
8,100000,0.985,True,4.537357575926972
8,100000,0.99,True,6.638938110168036
8,100000,0.995,True,8.206597234392142
8,100000,0.996,True,9.034522761466592
8,100000,0.997,True,9.66369655329878
8,100000,0.998,True,11.194905921079554
8,1000000,0.95,False,-1.0759105700875118
8,1000000,0.97,False,-0.6951106712706998
8,1000000,0.99,False,0.12820664029562254
8,1000000,0.995,False,0.6969101490433259
8,1000000,0.95,True,2.897695905295017
8,1000000,0.96,True,3.1703940638380783
8,1000000,0.965,True,3.3420845117967657
8,1000000,0.97,True,3.592031600372346
8,1000000,0.975,True,3.9172676001981337
8,1000000,0.98,True,4.3471023067940004
8,1000000,0.985,True,4.998067649709585
8,1000000,0.99,True,5.983667498262651
8,1000000,0.995,True,8.89883625818439
8,1000000,0.996,True,10.55956650157961
8,1000000,0.997,True,11.935636943601523
8,1000000,0.998,True,14.681350029750458
9,1000,0.95,False,-0.971417494043788
9,1000,0.97,False,-0.6706195929707164
9,1000,0.99,False,0.12992210734576104
9,1000,0.995,False,0.786773870610718
9,1000,0.95,True,1.6405689277262652
9,1000,0.96,True,1.6725574511367136
9,1000,0.965,True,1.6885517128419383
9,1000,0.97,True,1.7045459745471625
9,1000,0.975,True,1.720540236252387
9,1000,0.98,True,1.7365344979576112
9,1000,0.985,True,1.7525287596628354
9,1000,0.99,True,1.7685230213680603
9,1000,0.995,True,1.7845172830732845
9,1000,0.996,True,1.787716135414329
9,1000,0.997,True,1.7909149877553743
9,1000,0.998,True,1.794113840096419
9,10000,0.95,False,-1.0715403968581665
9,10000,0.97,False,-0.7380440444769418
9,10000,0.99,False,0.14082904325753404
9,10000,0.995,False,0.863141611474022
9,10000,0.95,True,2.2730962413331057
9,10000,0.96,True,2.4233990238399414
9,10000,0.965,True,2.578126805158244
9,10000,0.97,True,2.6065874015141657
9,10000,0.975,True,2.623107341638026
9,10000,0.98,True,2.7248973530281457
9,10000,0.985,True,2.870597991059013
9,10000,0.99,True,3.0772358252443794
9,10000,0.995,True,3.3311669744605465
9,10000,0.996,True,3.385827837342442
9,10000,0.997,True,3.4404887002243445
9,10000,0.998,True,3.4951495631062466
9,100000,0.95,False,-1.0863518990565055
9,100000,0.97,False,-0.7070012085137408
9,100000,0.99,False,0.12357509092567076
9,100000,0.995,False,0.6820860414879392
9,100000,0.95,True,3.0218267559085983
9,100000,0.96,True,3.431626841987153
9,100000,0.965,True,3.6303018542789545
9,100000,0.97,True,3.951981010713037
9,100000,0.975,True,4.179491529204132
9,100000,0.98,True,4.901101359466208
9,100000,0.985,True,5.4767158377805
9,100000,0.99,True,6.531440156902873
9,100000,0.995,True,8.28446434837282
9,100000,0.996,True,9.89428577043288
9,100000,0.997,True,10.795399454905843
9,100000,0.998,True,11.129684885211095
9,1000000,0.95,False,-1.0734076624034699
9,1000000,0.97,False,-0.6933005495616282
9,1000000,0.99,False,0.1325767840210756
9,1000000,0.995,False,0.6809827787271104
9,1000000,0.95,True,2.865505068357257
9,1000000,0.96,True,3.1986125649585238
9,1000000,0.965,True,3.4259376826692907
9,1000000,0.97,True,3.6896743360683004
9,1000000,0.975,True,4.021308783428914
9,1000000,0.98,True,4.442377968832789
9,1000000,0.985,True,4.87356651717996
9,1000000,0.99,True,5.868708052886509
9,1000000,0.995,True,8.781822715084509
9,1000000,0.996,True,10.084429813568144
9,1000000,0.997,True,12.735257561162319
9,1000000,0.998,True,15.022800908128431
10,1000,0.95,False,-1.1784169956447998
10,1000,0.97,False,-0.8270386987072651
10,1000,0.99,False,-0.16327891540219652
10,1000,0.995,False,0.6160358438514891
10,1000,0.95,True,3.827654983060149
10,1000,0.96,True,4.01260833021923
10,1000,0.965,True,4.105085003798771
10,1000,0.97,True,4.197561677378312
10,1000,0.975,True,4.29003835095785
10,1000,0.98,True,4.3825150245373905
10,1000,0.985,True,4.4749916981169315
10,1000,0.99,True,4.56746837169647
10,1000,0.995,True,4.65994504527601
10,1000,0.996,True,4.678440379991919
10,1000,0.997,True,4.696935714707828
10,1000,0.998,True,4.715431049423734
10,10000,0.95,False,-1.0616193325967327
10,10000,0.97,False,-0.6899894770839091
10,10000,0.99,False,0.14029314192800388
10,10000,0.995,False,0.636672411884159
10,10000,0.95,True,3.0194245493740555
10,10000,0.96,True,3.388823694386413
10,10000,0.965,True,3.6624428445841923
10,10000,0.97,True,3.6882888506669556
10,10000,0.975,True,3.9288483488924926
10,10000,0.98,True,4.484320968927453
10,10000,0.985,True,4.721648684768056
10,10000,0.99,True,4.750045418749683
10,10000,0.995,True,4.838194164083886
10,10000,0.996,True,4.858777945172653
10,10000,0.997,True,4.879361726261419
10,10000,0.998,True,4.899945507350186
10,100000,0.95,False,-1.0688788984133628
10,100000,0.97,False,-0.6928081378115536
10,100000,0.99,False,0.12912671150855815
10,100000,0.995,False,0.6897009534945822
10,100000,0.95,True,2.769160119076513
10,100000,0.96,True,2.9990028601041097
10,100000,0.965,True,3.1891402726086966
10,100000,0.97,True,3.3350734514146536
10,100000,0.975,True,3.5095690896130245
10,100000,0.98,True,4.007645856072949
10,100000,0.985,True,4.702679278301697
10,100000,0.99,True,6.34684691279974
10,100000,0.995,True,8.289244665686141
10,100000,0.996,True,8.810927156550274
10,100000,0.997,True,9.854935576922212
10,100000,0.998,True,10.269136238678197
10,1000000,0.95,False,-1.0826006442533895
10,1000000,0.97,False,-0.7010384453550267
10,1000000,0.99,False,0.12112764475622585
10,1000000,0.995,False,0.6898570008386591
10,1000000,0.95,True,2.9142955643210873
10,1000000,0.96,True,3.2556346323009056
10,1000000,0.965,True,3.4833897020446973
10,1000000,0.97,True,3.7633203727161004
10,1000000,0.975,True,4.180671991589209
10,1000000,0.98,True,4.635532077659752
10,1000000,0.985,True,5.289795916804324
10,1000000,0.99,True,6.462474903683381
10,1000000,0.995,True,10.101401685021074
10,1000000,0.996,True,11.110887154165399
10,1000000,0.997,True,14.131326934293353
10,1000000,0.998,True,18.774213298016885
11,1000,0.95,False,-1.1128024557761398
11,1000,0.97,False,-0.7399390186165056
11,1000,0.99,False,-0.008733794775432902
11,1000,0.995,False,0.47024587106674337
11,1000,0.95,True,7.91721373771096
11,1000,0.96,True,8.070868943264859
11,1000,0.965,True,8.147696546041807
11,1000,0.97,True,8.224524148818753
11,1000,0.975,True,8.301351751595702
11,1000,0.98,True,8.37817935437265
11,1000,0.985,True,8.455006957149598
11,1000,0.99,True,8.531834559926544
11,1000,0.995,True,8.608662162703492
11,1000,0.996,True,8.624027683258882
11,1000,0.997,True,8.639393203814272
11,1000,0.998,True,8.65475872436966
11,10000,0.95,False,-1.0670154478786547
11,10000,0.97,False,-0.7150249930296756
11,10000,0.99,False,0.05656711934240794
11,10000,0.995,False,0.5270859440507414
11,10000,0.95,True,1.839650302934262
11,10000,0.96,True,1.998148849581035
11,10000,0.965,True,2.050497582011341
11,10000,0.97,True,2.0509467126037584
11,10000,0.975,True,2.1508621785856574
11,10000,0.98,True,2.472445477721262
11,10000,0.985,True,3.0437179743219565
11,10000,0.99,True,3.8278402785978383
11,10000,0.995,True,4.073097926497375
11,10000,0.996,True,4.089941453627204
11,10000,0.997,True,4.106784980757034
11,10000,0.998,True,4.123628507886863
11,100000,0.95,False,-1.0688694701848513
11,100000,0.97,False,-0.6864574739540383
11,100000,0.99,False,0.1357841006034746
11,100000,0.995,False,0.7048778481948696
11,100000,0.95,True,2.7079875223151917
11,100000,0.96,True,2.930889333900063
11,100000,0.965,True,3.1875912539675255
11,100000,0.97,True,3.493647700580508
11,100000,0.975,True,3.7235550318391355
11,100000,0.98,True,4.1435377014878965
11,100000,0.985,True,4.303440218379486
11,100000,0.99,True,4.611556591220596
11,100000,0.995,True,6.232075959343394
11,100000,0.996,True,7.282861183882594
11,100000,0.997,True,8.84016144208579
11,100000,0.998,True,10.06973872149991
11,1000000,0.95,False,-1.0668771334500975
11,1000000,0.97,False,-0.6914856057617246
11,1000000,0.99,False,0.1301633366223698
11,1000000,0.995,False,0.6890640209624451
11,1000000,0.95,True,2.945352772271881
11,1000000,0.96,True,3.291420110805274
11,1000000,0.965,True,3.4605463951464746
11,1000000,0.97,True,3.67912209931064
11,1000000,0.975,True,3.971584416768906
11,1000000,0.98,True,4.426446358927242
11,1000000,0.985,True,5.150715908141013
11,1000000,0.99,True,6.314166556693627
11,1000000,0.995,True,8.706122662233536
